sequence,RiverSensorX,RiverSensorY,RiverSensorZ,RiverSensorADC3
0,-4398,-63,162,1509
1,-4386,-24,162,1508
2,-4386,-24,78,1508
3,-4407,-81,78,1507
4,-4395,-81,102,1506
5,-4395,-117,147,1505
6,-4437,-81,147,1505
7,-4437,-81,147,1504
8,-4407,-81,147,1504
9,-4371,-81,165,1509
10,-4371,-60,141,1509
11,-4404,-108,141,1508
12,-4404,-108,171,1507
13,-4404,-81,171,1506
14,-4389,-81,147,1506
15,-4389,-60,132,1505
16,-4404,-63,132,1505
17,-4404,-63,105,1504
18,-4389,-102,105,1504
19,-4401,-102,156,1509
20,-4401,-81,216,1508
21,-4362,-69,216,1508
22,-4362,-69,90,1508
23,-4386,-63,90,1507
24,-4404,-63,150,1507
25,-4404,-45,210,1506
26,-4398,-69,210,1506
27,-4416,-69,132,1505
28,-4416,-84,132,1505
29,-4398,-84,120,1505
30,-4398,-69,162,1505
31,-4419,-57,162,1504
32,-4407,-57,201,1505
33,-4407,-63,90,1504
34,-4419,-63,90,1508
35,-4419,-87,132,1508
36,-4407,-81,132,1507
37,-4434,-81,150,1506
38,-4434,-90,129,1506
39,-4416,-90,129,1505
40,-4416,-42,150,1503
41,-4383,-66,150,1504
42,-4434,-66,102,1504
43,-4434,-69,105,1508
44,-4425,-69,105,1508
45,-4425,-78,132,1507
46,-4401,-84,132,1507
47,-4401,-84,180,1506
48,-4401,-78,102,1506
49,-4404,-78,102,1505
50,-4404,-84,165,1505
51,-4395,-63,165,1504
52,-4401,-63,132,1504
53,-4401,-75,132,1504
54,-4377,-75,132,1508
55,-4377,-60,138,1508
56,-4371,-84,138,1508
57,-4401,-84,111,1507
58,-4401,-84,150,1506
59,-4389,-69,150,1505
60,-4389,-69,105,1505
61,-4401,-99,105,1504
62,-4407,-99,132,1504
63,-4407,-81,171,1504
64,-4389,-63,171,1508
65,-4389,-63,150,1508
66,-4398,-78,150,1507
67,-4437,-78,198,1506
68,-4437,-96,111,1506
69,-4383,-60,111,1505
70,-4383,-60,150,1505
71,-4395,-99,150,1504
72,-4386,-99,111,1504
73,-4386,-81,180,1504
74,-4389,-102,180,1504
75,-4389,-102,129,1508
76,-4419,-96,129,1508
77,-4422,-96,129,1507
78,-4422,-45,171,1507
79,-4398,-84,171,1506
80,-4401,-84,141,1505
81,-4401,-78,141,1505
82,-4395,-78,138,1504
83,-4395,-66,129,1504
84,-4401,-87,129,1503
85,-4404,-87,156,1508
86,-4404,-81,156,1508
87,-4419,-81,129,1507
88,-4419,-66,141,1506
89,-4404,-60,141,1505
90,-4386,-60,129,1505
91,-4386,-57,129,1505
92,-4443,-57,105,1504
93,-4443,-87,96,1504
94,-4416,-99,96,1504
95,-4398,-99,123,1508
96,-4398,-72,165,1508
97,-4410,-72,165,1507
98,-4410,-66,171,1506
99,-4401,-63,171,1506
100,-4410,-63,171,1505
101,-4410,-63,189,1504
102,-4395,-63,189,1504
103,-4395,-60,141,1504
104,-4428,-54,141,1504
105,-4419,-54,141,1508
106,-4419,-60,165,1508
107,-4425,-60,165,1503
108,-4425,-72,120,1506
109,-4404,-72,120,1506
110,-4395,-72,105,1505
111,-4395,-78,147,1504
112,-4389,-78,147,1504
113,-4389,-63,141,1504
114,-4353,-96,141,1503
115,-4401,-96,174,1508
116,-4401,-63,132,1508
117,-4380,-63,132,1507
118,-4380,-99,138,1506
119,-4389,-78,138,1505
120,-4398,-78,147,1505
121,-4398,-81,174,1504
122,-4395,-66,174,1504
123,-4395,-66,123,1504
124,-4383,-75,123,1503
125,-4404,-75,120,1508
126,-4404,-24,150,1507
127,-4395,-78,150,1506
128,-4395,-78,129,1506
129,-4401,-90,129,1505
130,-4416,-90,123,1505
131,-4416,-78,156,1504
132,-4443,-84,156,1504
133,-4443,-84,183,1503
134,-4398,-75,183,1508
135,-4416,-75,171,1508
136,-4416,-69,78,1507
137,-4398,-108,78,1507
138,-4398,-108,141,1506
139,-4404,-75,141,1505
140,-4395,-75,147,1502
141,-4395,-60,216,1504
142,-4398,-57,216,1504
143,-4404,-57,183,1504
144,-4404,-75,183,1504
145,-4386,-75,180,1503
146,-4386,-84,141,1508
147,-4395,-90,141,1507
148,-4389,-90,171,1507
149,-4389,-75,171,1507
150,-4416,-75,132,1507
151,-4416,-42,141,1506
152,-4368,-84,141,1506
153,-4362,-84,156,1505
154,-4362,-87,174,1505
155,-4398,-87,174,1504
156,-4398,-69,96,1504
157,-4371,-69,96,1503
158,-4401,-69,150,1503
159,-4401,-84,111,1508
160,-4434,-84,111,1508
161,-4434,-96,156,1507
162,-4404,-57,156,1506
163,-4389,-57,156,1505
164,-4389,-57,102,1505
165,-4422,-57,102,1505
166,-4422,-84,171,1504
167,-4389,-57,171,1504
168,-4383,-57,162,1503
169,-4383,-96,189,1508
170,-4410,-96,189,1508
171,-4410,-69,162,1507
172,-4398,-78,162,1506
173,-4401,-78,120,1506
174,-4401,-84,171,1505
175,-4401,-84,171,1504
176,-4401,-78,162,1504
177,-4422,-45,162,1504
178,-4389,-45,162,1508
179,-4389,-78,63,1507
180,-4365,-75,63,1507
181,-4365,-75,138,1506
182,-4371,-63,138,1506
183,-4398,-63,129,1505
184,-4398,-87,60,1505
185,-4401,-78,60,1504
186,-4401,-78,120,1504
187,-4410,-84,120,1504
188,-4422,-84,183,1504
189,-4422,-54,180,1503
190,-4425,-72,180,1508
191,-4425,-72,129,1507
192,-4404,-90,129,1507
193,-4371,-90,189,1506
194,-4371,-81,120,1505
195,-4377,-87,120,1505
196,-4377,-87,120,1505
197,-4419,-66,120,1504
198,-4398,-66,90,1504
199,-4398,-69,147,1508
200,-4419,-72,147,1508
201,-4419,-72,105,1508
202,-4398,-69,105,1507
203,-4380,-69,150,1506
204,-4380,-60,102,1505
205,-4383,-63,102,1505
206,-4422,-63,123,1504
207,-4422,-81,123,1503
208,-4401,-81,123,1504
209,-4401,-78,141,1508
210,-4419,-78,141,1508
211,-4407,-78,156,1507
212,-4407,-75,156,1507
213,-4407,-75,129,1506
214,-4407,-99,141,1505
215,-4365,-57,141,1505
216,-4389,-57,147,1504
217,-4389,-63,147,1504
218,-4410,-63,171,1504
219,-4410,-81,150,1508
220,-4386,-66,150,1508
221,-4395,-66,201,1507
222,-4395,-81,147,1507
223,-4407,-81,147,1506
224,-4407,-81,162,1506
225,-4398,-78,162,1505
226,-4404,-78,189,1505
227,-4404,-75,129,1504
228,-4416,-75,129,1504
229,-4416,-69,120,1504
230,-4404,-78,120,1508
231,-4377,-78,129,1508
232,-4377,-63,114,1507
233,-4428,-63,114,1506
234,-4428,-87,96,1506
235,-4371,-72,96,1505
236,-4422,-72,174,1504
237,-4422,-90,201,1504
238,-4410,-90,201,1504
239,-4410,-75,141,1508
240,-4398,-39,141,1503
241,-4395,-39,156,1508
242,-4395,-78,111,1507
243,-4434,-78,111,1507
244,-4434,-36,141,1506
245,-4419,-51,141,1505
246,-4416,-51,162,1505
247,-4416,-42,189,1504
248,-4410,-78,189,1504
249,-4410,-78,147,1504
250,-4386,-96,147,1508
251,-4398,-96,129,1508
252,-4398,-57,156,1507
253,-4410,-72,156,1506
254,-4410,-72,165,1506
255,-4416,-57,165,1505
256,-4377,-57,171,1505
257,-4377,-54,81,1504
258,-4386,-69,81,1504
259,-4386,-69,123,1504
260,-4395,-63,123,1508
261,-4410,-63,141,1508
262,-4410,-114,132,1507
263,-4419,-81,132,1506
264,-4419,-81,72,1506
265,-4371,-66,72,1505
266,-4410,-66,156,1505
267,-4410,-69,147,1505
268,-4416,-84,147,1504
269,-4416,-84,156,1504
270,-4410,-63,156,1504
271,-4419,-63,123,1508
272,-4419,-96,150,1507
273,-4389,-63,150,1507
274,-4389,-63,147,1506
275,-4398,-96,147,1505
276,-4443,-96,192,1505
277,-4443,-60,183,1504
278,-4389,-69,183,1504
279,-4395,-69,156,1504
280,-4395,-78,156,1504
281,-4395,-78,165,1503
282,-4395,-84,198,1508
283,-4395,-72,198,1508
284,-4452,-72,132,1507
285,-4452,-66,132,1506
286,-4383,-66,132,1506
287,-4383,-102,171,1505
288,-4386,-60,171,1505
289,-4395,-60,201,1504
290,-4395,-78,174,1504
291,-4425,-78,174,1504
292,-4425,-84,123,1504
293,-4404,-66,123,1508
294,-4404,-66,198,1508
295,-4404,-96,150,1507
296,-4383,-96,150,1506
297,-4383,-96,132,1505
298,-4422,-87,132,1505
299,-4407,-87,147,1504
300,-4407,-120,174,1504
301,-4407,-120,174,1504
302,-4407,-69,174,1503
303,-4389,-105,174,1508
304,-4404,-105,192,1508
305,-4404,-78,201,1507
306,-4398,-78,201,1506
307,-4398,-84,183,1503
308,-4407,-63,183,1505
309,-4398,-63,147,1504
310,-4398,-60,132,1504
311,-4407,-60,132,1504
312,-4407,-63,162,1503
313,-4398,-72,162,1508
314,-4434,-72,147,1507
315,-4434,-33,123,1507
316,-4386,-33,123,1506
317,-4386,-84,174,1505
318,-4389,-63,174,1505
319,-4410,-63,147,1504
320,-4410,-81,141,1504
321,-4401,-90,141,1504
322,-4401,-90,162,1504
323,-4422,-72,162,1503
324,-4416,-72,147,1503
325,-4416,-81,114,1508
326,-4377,-60,114,1508
327,-4377,-60,174,1507
328,-4386,-54,174,1507
329,-4386,-54,156,1506
330,-4386,-99,150,1505
331,-4419,-84,150,1505
332,-4419,-84,114,1504
333,-4380,-96,114,1504
334,-4407,-96,111,1503
335,-4407,-102,78,1508
336,-4410,-81,78,1507
337,-4410,-81,165,1507
338,-4380,-69,165,1507
339,-4377,-69,102,1506
340,-4377,-57,132,1502
341,-4401,-81,132,1505
342,-4401,-81,105,1505
343,-4395,-45,105,1504
344,-4389,-45,138,1504
345,-4389,-63,111,1503
346,-4395,-84,111,1503
347,-4395,-84,207,1507
348,-4395,-84,207,1507
349,-4404,-84,165,1506
350,-4404,-78,123,1506
351,-4401,-63,123,1505
352,-4407,-63,201,1504
353,-4407,-63,201,1504
354,-4389,-63,102,1503
355,-4389,-66,174,1503
356,-4365,-78,174,1503
357,-4410,-78,174,1503
358,-4410,-75,174,1503
359,-4416,-75,147,1507
360,-4416,-72,156,1507
361,-4368,-99,156,1507
362,-4404,-99,174,1507
363,-4404,-57,105,1506
364,-4410,-57,105,1506
365,-4410,-60,156,1505
366,-4365,-84,156,1505
367,-4383,-84,120,1504
368,-4383,-75,174,1504
369,-4419,-75,174,1504
370,-4419,-78,210,1504
371,-4446,-72,210,1503
372,-4452,-72,180,1503
373,-4452,-69,171,1508
374,-4371,-69,171,1507
375,-4371,-111,138,1506
376,-4419,-75,138,1506
377,-4389,-75,114,1505
378,-4389,-63,147,1504
379,-4404,-63,147,1504
380,-4404,-81,165,1504
381,-4419,-39,165,1503
382,-4416,-39,174,1503
383,-4416,-81,90,1507
384,-4410,-99,90,1507
385,-4410,-99,180,1506
386,-4419,-90,180,1505
387,-4422,-90,138,1505
388,-4422,-78,189,1504
389,-4401,-54,189,1504
390,-4401,-54,174,1504
391,-4395,-90,174,1503
392,-4416,-90,87,1508
393,-4416,-57,138,1507
394,-4380,-120,138,1507
395,-4380,-120,162,1506
396,-4410,-84,162,1505
397,-4368,-84,87,1505
398,-4368,-90,102,1504
399,-4401,-99,102,1504
400,-4401,-99,132,1504
401,-4377,-72,132,1508
402,-4401,-72,147,1504
403,-4401,-57,165,1506
404,-4437,-57,165,1480
405,-4437,-90,87,1508
406,-4395,-60,87,1508
407,-4395,-60,147,1475
408,-4422,-84,147,1506
409,-4416,-84,171,1506
410,-4416,-66,171,1507
411,-4398,-66,162,1505
412,-4398,-81,132,1504
413,-4416,-81,132,1508
414,-4416,-78,123,1508
415,-4389,-87,123,1480
416,-4389,-87,171,1506
417,-4401,-72,171,1503
418,-4410,-72,138,1508
419,-4410,-90,162,1505
420,-4389,-90,162,1475
421,-4389,-81,174,1506
422,-4416,-69,174,1474
423,-4416,-69,129,1509
424,-4410,-108,129,1504
425,-4395,-108,180,1479
