sequence,RiverSensorX,RiverSensorY,RiverSensorZ,RiverSensorADC3
0,-4383,-78,222,1330
1,-4419,-66,222,1330
2,-4419,-66,162,1331
3,-4371,-75,162,1331
4,-4395,-75,183,1332
5,-4395,-69,132,1337
6,-4380,-66,132,1337
7,-4380,-66,174,1336
8,-4380,-75,174,1336
9,-4389,-75,162,1336
10,-4389,-84,210,1336
11,-4398,-66,210,1336
12,-4398,-66,231,1338
13,-4389,-69,231,1338
14,-4395,-69,174,1338
15,-4395,-102,138,1343
16,-4410,-102,138,1343
17,-4410,-57,198,1342
18,-4404,-45,198,1342
19,-4401,-45,150,1341
20,-4401,-102,207,1341
21,-4395,-102,207,1341
22,-4395,-60,183,1346
23,-4380,-75,183,1346
24,-4419,-75,138,1346
25,-4419,-90,150,1346
26,-4398,-69,150,1346
27,-4398,-69,231,1346
28,-4389,-84,231,1346
29,-4401,-84,171,1345
30,-4401,-66,129,1345
31,-4407,-90,129,1349
32,-4407,-90,189,1349
33,-4362,-123,189,1347
34,-4407,-123,192,1346
35,-4407,-84,201,1345
36,-4380,-87,201,1344
37,-4380,-87,120,1342
38,-4389,-90,120,1342
39,-4410,-90,210,1346
40,-4410,-78,210,1345
41,-4416,-102,210,1344
42,-4416,-102,147,1342
43,-4401,-87,147,1341
44,-4377,-87,183,1341
45,-4377,-72,123,1340
46,-4395,-72,123,1340
47,-4395,-72,207,1345
48,-4398,-60,207,1345
49,-4419,-60,189,1345
50,-4419,-75,222,1345
51,-4377,-84,222,1344
52,-4377,-84,150,1344
53,-4410,-81,150,1344
54,-4428,-81,132,1344
55,-4428,-69,216,1349
56,-4401,-84,216,1350
57,-4401,-84,162,1349
58,-4380,-66,162,1349
59,-4398,-66,189,1348
60,-4398,-99,183,1348
61,-4368,-117,183,1348
62,-4368,-117,180,1347
63,-4404,-78,180,1352
64,-4368,-78,171,1351
65,-4368,-108,150,1350
66,-4344,-108,150,1349
67,-4344,-108,243,1348
68,-4401,-108,243,1348
69,-4389,-108,171,1347
70,-4389,-81,138,1352
71,-4434,-60,138,1351
72,-4434,-60,216,1350
73,-4395,-87,216,1349
74,-4419,-87,147,1348
75,-4419,-84,147,1347
76,-4425,-81,147,1347
77,-4425,-81,138,1346
78,-4416,-72,138,1345
79,-4419,-72,210,1350
80,-4419,-72,192,1349
81,-4401,-63,192,1348
82,-4401,-63,174,1347
83,-4401,-90,174,1346
84,-4386,-90,162,1345
85,-4386,-81,150,1344
86,-4371,-108,150,1343
87,-4371,-108,189,1347
88,-4425,-69,189,1346
89,-4410,-69,222,1344
90,-4410,-87,192,1343
91,-4404,-42,192,1341
92,-4404,-42,216,1340
93,-4404,-54,216,1339
94,-4416,-54,147,1338
95,-4416,-54,198,1342
96,-4422,-72,198,1341
97,-4422,-72,162,1340
98,-4395,-84,162,1339
99,-4368,-84,165,1337
100,-4368,-39,171,1336
101,-4383,-72,171,1336
102,-4383,-72,105,1335
103,-4410,-99,105,1339
104,-4398,-99,129,1338
105,-4398,-78,180,1336
106,-4401,-51,180,1335
107,-4401,-51,192,1333
108,-4383,-57,192,1332
109,-4404,-57,207,1331
110,-4404,-99,192,1330
111,-4407,-96,192,1334
112,-4407,-96,210,1329
113,-4395,-72,210,1334
114,-4401,-72,210,1333
115,-4401,-60,180,1331
116,-4398,-66,180,1331
117,-4398,-66,120,1329
118,-4404,-87,120,1329
119,-4404,-87,174,1328
120,-4404,-72,171,1327
121,-4410,-96,171,1332
122,-4410,-96,189,1331
123,-4425,-69,189,1330
124,-4395,-69,183,1329
125,-4395,-87,138,1328
126,-4371,-63,138,1328
127,-4371,-63,156,1328
128,-4389,-66,156,1327
129,-4398,-66,189,1332
130,-4398,-84,225,1332
131,-4410,-102,225,1332
132,-4410,-102,183,1332
133,-4455,-90,183,1331
134,-4389,-90,207,1331
135,-4389,-69,207,1330
136,-4404,-84,207,1331
137,-4404,-84,207,1335
138,-4404,-75,207,1335
139,-4422,-75,150,1335
140,-4422,-78,141,1335
141,-4407,-51,141,1334
142,-4407,-51,210,1334
143,-4395,-87,210,1333
144,-4386,-87,141,1333
145,-4386,-69,171,1337
146,-4419,-69,171,1336
147,-4419,-69,141,1335
148,-4377,-78,141,1334
149,-4410,-78,165,1332
150,-4410,-66,165,1332
151,-4425,-87,165,1330
152,-4425,-87,180,1330
153,-4398,-87,180,1334
